ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
197,China,Wuhan,223,Positive only,60,0.57,0.00,0.00,1.00,0.00,0.00,,0.18,0.09,0.06,,0.02,,,,,0.79,,0.69,,,,,0.57,,0.07,,,,,,,,0.30
197,China,Wuhan,125,Positive only,48,0.49,0.00,0.00,1.00,0.00,0.00,,0.10,0.06,0.03,,0.01,,,,,0.74,,0.68,,,,,0.58,,0.08,,,,,,,,0.00
197,China,Wuhan,98,Positive only,64,0.66,0.00,0.00,1.00,0.00,0.00,,0.39,0.12,0.09,,0.04,,,,,0.86,,0.70,,,,,0.54,,0.05,,,,,,,,0.68
198,USA,New York,257,Positive,21,0.66,0.12,0.19,0.04,0.62,0.03,0.13,0.63,0.36,0.19,0.09,0.07,0.02,0.09,0.14,,0.71,,0.66,0.74,0.04,,0.26,,0.07,0.12,,,0.06,,,,0.00,0.33
199,China,Hubei,237,Positive only,65,0.59,,,,,,,0.43,0.24,0.07,,,,,0.00,,0.37,0.20,,,,,,,,0.03,0.04,0.01,,,,,0.00,0.14
199,China,Hubei,158,Positive only,66,0.56,,,,,,,0.46,0.25,0.09,,,,,0.00,,0.35,0.23,,,,,,,,0.03,0.05,0.01,,,,,0.00,0.15
199,China,Hubei,78,Positive only,64,0.65,,,,,,,0.38,0.21,0.03,,,,,0.00,,0.40,0.14,,,,,,,,0.03,0.03,0.00,,,,,0.00,0.13
200,USA,New York,151,Positive only,56,0.57,,,,,,0.21,0.50,0.26,0.11,0.07,0.03,0.01,,0.08,0.17,0.74,,0.77,0.54,0.14,0.06,,,,0.20,0.09,,0.11,0.15,,,,0.15
200,USA,New York,618,Positive only,63,0.57,,,,,,0.23,0.59,0.38,0.14,0.07,0.08,0.02,,0.16,0.10,0.73,,0.73,0.61,0.10,0.09,,,,0.25,0.22,,0.08,0.19,,,,0.13
200,USA,New York,231,Positive only,62,0.68,,,,,,0.24,0.68,0.43,0.13,0.06,0.06,0.02,,0.12,0.13,0.73,,0.72,0.74,0.07,0.07,,,,0.21,0.10,,0.08,0.17,,,,0.31
200,USA,New York,1000,Positive only,62,0.60,,,,,,0.23,0.60,0.37,0.13,0.07,0.07,0.02,,0.14,0.11,0.73,,0.73,0.63,0.10,0.08,,,,0.23,0.18,,0.08,0.18,,,,0.17
1,China,Wuhan,191,Positive only,56,0.62,0.00,0.00,1.00,0.00,0.00,0.06,0.30,0.19,0.08,0.03,0.02,,,0.02,0.12,0.94,0.29,0.79,,,0.23,0.15,0.23,,0.05,0.04,,,,,,,0.28
