Median Age,Smoking history,Current drinker,Obesity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Mortality
14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
68,8,0,0,5,3,2,0,0,1,0,0,0,0
47,14,0,0,5,1,0,0,0,0,0,1,0,0
41,0,0,0,5,4,1,0,0,2,0,0,2,0
56,0,0,0,0,18,48,0,3,0,9,3,0,0
53,8,0,0,14,11,6,0,7,1,0,0,0,0
31,0,0,0,0,0,0,0,3,0,0,0,0,0
56,8,0,0,14,11,6,0,4,1,0,0,0,0
47,0,0,0,8,8,3,0,0,0,0,0,0,0
46,0,0,0,8,7,2,0,0,0,0,0,0,0
46,0,0,0,0,1,1,0,0,0,0,0,0,0
64,5,0,0,0,14,0,1,0,0,0,5,5,1
63,0,0,0,56,21,17,8,0,0,17,0,16,0
64,0,0,0,12,6,6,2,0,0,6,0,3,0
65,0,0,0,24,7,7,3,0,0,7,0,7,0
56,0,0,0,20,8,4,3,0,0,4,0,6,0
75,7,0,11,0,20,36,16,0,0,19,18,0,0
81,1,0,6,0,9,20,10,0,0,8,9,0,0
66,9,0,0,36,13,8,3,67,4,5,2,0,0
64,4,0,0,13,4,1,0,35,3,2,0,0,0
69,5,0,0,23,9,7,3,32,1,3,2,0,1
65,6,0,0,24,8,2,0,49,3,2,1,0,0
70,3,0,0,12,5,6,3,18,1,3,1,0,1
66,0,0,0,0,0,0,0,12,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,9,0,0,0,0,6,0
31,9,10,0,0,0,0,8,0,0,0,0,6,0
37,0,0,0,0,0,0,1,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,138,54,53,21,15,2,21,13,5,0
68,0,0,0,106,43,32,10,12,1,11,9,4,0
76,0,0,0,33,11,21,11,3,1,10,4,1,1
62,0,0,0,33,5,7,0,0,8,0,0,3,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,780,270,334,64,127,48,0,48,318,0
16,0,0,0,0,0,0,0,0,0,0,0,4,0
34,0,0,0,6,2,2,2,0,0,0,0,10,0
47,0,0,0,37,7,7,0,3,3,0,3,17,0
56,0,0,0,188,64,68,13,17,13,0,17,77,0
65,0,0,0,305,138,138,18,54,18,0,24,120,0
74,0,0,0,211,61,109,27,44,7,0,10,75,0
83,0,0,0,16,4,8,1,4,0,0,0,7,1
91,0,0,0,0,0,1,0,0,0,0,0,0,1
59,0,0,2,0,0,0,0,5,0,0,0,1,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,22,7,4,6,0,4,4,0,0,0
40,0,0,0,10,5,2,4,0,4,3,0,0,0
