ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,"Hypertension,Diabetes", Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,"Chronic kidney/renal disease,Other",Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),"Headache,Sputum (/Expectoration)",Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia, Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
12.0,China,Jiangsu,620,Positive only,44.48,52.60%,0%,0%,100%,0%,0%,4.03%,,,,1.10%,0.50%,,,65.97%,,55.32%,2.58%,,,,,8.56%,,1.90%,,,,,15.65%,0
12.0,China,Jiangsu,97,Positive only,35.96,45.40%,0%,0%,100%,0%,0%,6.20%,,,,0.00%,0%,,,23.70%,,29.90%,1.00%,,,,,4.10%,,1.00%,,,,,100.00%,0
12.0,China,Jiangsu,470,Positive only,44.47,52.60%,0%,0%,100%,0%,0%,4.00%,,,,1.30%,0.40%,,,72.60%,,58.90%,2.70%,,,,,9.20%,,2.30%,,,,,0.00%,0
12.0,China,Jiangsu,53,Positive only,60.09,66.00%,0%,0%,100%,0%,0%,0.00%,,,,1.90%,1.90%,,,84.90%,,69.80%,11.30%,,,,,11.30%,,0%,,,,,0.00%,0
13.0,China,Nationwide,1099,Positive only,,58.10%,0%,0%,100%,0%,0%,12.60%,,,1.10%,0.90%,,1.40%,,88.70%,,67.80%,18.70%,,14.90%,38.10%,4.80%,3.80%,5%,,,11.50%,,,,0.01
13.0,China,Nationwide,926,Positive only,,58.20%,0%,0%,100%,0%,0%,11.80%,,,0.60%,0.80%,,1.20%,,88.10%,,67.30%,15.10%,,14.50%,37.80%,5.10%,3.50%,4.60%,,,10.80%,,,,0
13.0,China,Nationwide,173,Positive only,,57.80%,0%,0%,100%,0%,0%,16.90%,,,3.50%,1.70%,,2.30%,,92%,,70.50%,37.60%,,17.30%,39.90%,3.50%,5.80%,6.90%,,,15%,,,,0.08
13.0,China,Nationwide,67,Positive and Negative/Unconfirmed,,67.20%,0%,0%,100%,0%,0%,25.80%,,,10.40%,1.50%,,6.00%,,88.10%,,68.70%,53.70%,,9.00%,32.80%,3.00%,6.00%,4.50%,,,11.90%,,,,0.22
13.0,China,Nationwide,1032,Positive and Negative/Unconfirmed,,57.50%,0%,0%,100%,0%,0%,11.80%,,,0.50%,0.90%,,1.10%,,88.80%,,67.70%,16.40%,,15.30%,38.50%,4.90%,3.70%,5.00%,,,11.40%,,,,0
16.0,China,Wuhan,41,Positive only,,73%,0%,0%,100%,0%,0%,7%,,,2%,2%,2%,,,98%,29%,76%,55%,,44%,44%,,3%,,,,,,,,0.15
16.0,China,Wuhan,13,Positive only,,85%,0%,0%,100%,0%,0%,0%,,,8%,0%,0%,,,100%,62%,85%,92%,,54%,54%,,0%,,,,,,,,0.38
16.0,China,Wuhan,28,Positive only,,68%,0%,0%,100%,0%,0%,11%,,,0%,4%,4%,,,96%,14%,71%,37%,,39%,39%,,4%,,,,,,,,0.04
